127.0.0.1 - - [26/Aug/2020:15:55:34 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:55:34 +0900] "GET /UI02_CSS_m/ HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:55:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:55:37 +0900] "GET /UI02_CSS_m/css10_display.html HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:55:45 +0900] "GET /UI02_CSS_m/index.html HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:56:46 +0900] "GET /UI02_CSS_m/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:57:17 +0900] "GET /UI02_CSS_m/css10_display.html HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:57:18 +0900] "GET /UI02_CSS_m/css10_display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:57:22 +0900] "GET /UI02_CSS_m/css10_display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2020:15:57:45 +0900] "GET /UI02_CSS_m/css10_display.html HTTP/1.1" 200 735
